expedition,+
facititious,-
genial,-
repel,-
congenital,-
expel,-
concede,-
seduce,-
pedigree,-
remit,-
congenial,-
repulse,-
conform,-
indigenous,-
dispel,-
innate,-
predecessor,-
orbit,+
anthetic,-
renowned,-
naturalize,-
passable,-
alienate,-
natal,-
infantry,-
recourse,-
passage,-
profuse,-
ingenious,-
renounce,-
manifest,+
fabulous,-
accommodate,-
obituary,-
reminiscent,-
jury,-
extraordinary,+
defer,-
refute,-
ancestor,+
constellation,-
intermittent,-
emit,+
refuse,+
indifferent,+
conceive,+
minute,+
mince,-
astrology,+
compatible,+
equal,+
demote,-
defame,-
depart,+
infect,-
cruise,+
impulse,-
deceive,-
manacle,-
excess,-
